Original Filename,New SEO Filename,Target City (Filename Only),Activity Location (Facts),City Used in Text?,Total Score,Emotional (25%),Technical (20%),Brand (20%),Marketing (20%),SEO (15%),Focal X (%),Focal Y (%),Category,Alt Text,Caption,Placement Tags,Reasoning
540136468_1365628605565948_5353836731541593829_n.jpg,joyful-lab-and-doodle-wilderness-trails-madison-wi-river-paws.jpg,Madison,"River Paws Private Dog Park - Waunakee, WI",Madison,8.7,8.5,8,9,8.5,9.5,45,42,Adventure / Hiking,Playful dogs socializing safely experiencing natural enrichment for Madison area dogs at Waunakee's premier adventure park,Built different because dogs deserve different,Services – Adventure Out; Gallery; Social,"The image showcases the 'private prairie' terrain perfectly, differentiating it from manicured city parks. It highlights safe socialization in a natural, enriching environment, directly appealing to owners of high-energy dogs in Madison who lack access to off-leash wilderness."
539461475_1367591515369657_5138477106897467852_n.jpg,energetic-pack-fitness-hiking-waunakee-wi-river-paws.jpg,Waunakee,"River Paws Private Dog Park - Waunakee, WI",Waunakee,9.1,8.5,9,9.5,9,9.5,35,40,Adventure / Hiking,"Mixed pack getting fitness thriving on purpose-built wilderness trails at River Paws' exclusive facility in Waunakee, Wisconsin",Where endurance meets enrichment,Services – Adventure Out; Gallery; Homepage Hero,"The image perfectly illustrates the 'acres of varied terrain' competitive advantage. The composition highlights the vastness of the private facility (blue sky, rolling green hills) while showing multiple dogs interacting safely, which reinforces the social and fitness aspects of the brand. The alt text targets Waunakee specifically while using a fitness-focused transformation verb that hasn't been overused in the history."
541442555_1372002008261941_8392178421431288853_n.jpg,happy-golden-retriever-wilderness-trails-sun-prairie-wi-river-paws.jpg,Sun Prairie,"River Paws Private Dog Park - Waunakee, WI",Sun Prairie,9.1,9.5,9.2,9,8.8,9,53,35,Adventure / Hiking,Nosed Golden Retriever building confidence serving Sun Prairie families at professionally supervised wilderness trails,"Miles logged, energy spent, tails wagging",Homepage Hero; Services – Adventure Out; Gallery; Social,"The visible dirt on the nose is a high-value visual cue for 'enrichment' and 'real nature,' distinguishing this from artificial turf parks. This specific detail addresses the pain point of boredom by showing the aftermath of genuine exploration. The close-up format creates high emotional resonance."
540978334_1368340108628131_233980314175602017_n.jpg,joyful-goldendoodle-wilderness-trails-waunakee-wi-river-paws.jpg,Waunakee,"River Paws Private Dog Park - Waunakee, WI",Waunakee,9.2,9.2,8.8,9.5,9,9.5,47,45,Adventure / Hiking,Doodle achieving discovering natural enrichment at exclusive gated wilderness grounds on dedicated Waunakee wilderness infrastructure,The difference private acres make,Homepage Hero; Services – Adventure Out; Gallery; Social,"This image perfectly illustrates the 'private wilderness' competitive advantage. The tall prairie grass demonstrates terrain variety unavailable at standard municipal parks, while the visible perimeter fencing (background) reinforces the safety/containment value proposition. The dog's direct eye contact and bounding motion create high emotional engagement, selling the 'transformation' from bored to active."
538424096_1368340251961450_5206796316295979494_n.jpg,energetic-terrier-mix-dog-hiking-sun-prairie-wi-river-paws.jpg,Sun Prairie,"River Paws Private Dog Park - Waunakee, WI",Sun Prairie,9.1,9,8.5,9.5,9,9.5,52,38,Adventure / Hiking,Scruffy terrier getting building confidence serving Sun Prairie families at professionally supervised wilderness trails,Challenging terrain for challenging breeds,Services – Adventure Out; Gallery; Social; Homepage Banner / CTA,"The image perfectly illustrates the 'fitness-level exercise' and 'safety' pillars. The visible fence provides visual proof of the secure, private environment—a key selling point for owners of runners/escape artists. The dog's expression sells the emotional benefit of joy and energy release. SEO targets Sun Prairie using Pattern 3 (Serving) to vary from previous history."
539462975_1368340358628106_2688880185866765828_n.jpg,confident-terrier-mix-wilderness-trails-madison-wi-river-paws.jpg,Madison,"River Paws Private Dog Park - Waunakee, WI",Madison,8.7,8.5,7.5,9.5,8.8,9.2,50,40,Adventure / Hiking,Wire-haired dog getting experiencing natural enrichment for Madison area dogs at Waunakee's premier adventure park,The premium alternative to public parks,Services – Adventure Out; Gallery; Social; Blog,"The image perfectly captures the 'wilderness' aspect of the brand promise, showing a dog deeply immersed in nature rather than a manicured lawn. This visual evidence supports the premium pricing for 'adventure' rather than just 'daycare.' The alt text targets the Madison audience (Pattern 2) while emphasizing the psychological transformation from boredom to adventure, a key pain point for owners of intelligent breeds."
540666918_1368340458628096_9068192333475327694_n.jpg,curious-chihuahua-mix-dog-hiking-madison-wi-river-paws.jpg,Madison,"River Paws Private Dog Park - Waunakee, WI",Madison,9,9.2,8.5,9,8.8,9.5,65,35,Adventure / Hiking,Curious small dogs experiencing natural enrichment for Madison area dogs at Waunakee's premier adventure park,Wilderness therapy for modern dogs,Services – Adventure Out; Gallery; Social; Homepage Hero,"The immersive perspective (low angle in tall grass) perfectly illustrates the 'natural enrichment' value proposition. The direct eye contact from the small dog creates a strong emotional hook, while the setting proves the 'acres of varied terrain' claim without needing man-made structures. This appeals directly to Madison owners seeking safe, off-leash nature experiences for smaller breeds."
542742178_1372002628261879_3804591776552202117_n.jpg,joyful-golden-retriever-wilderness-trails-waunakee-wi-river-paws.jpg,Waunakee,"River Paws Private Dog Park - Waunakee, WI",Waunakee,9.1,9.5,8.5,9.2,9,9.5,42,45,Adventure / Hiking,"Joyful Golden Retriever thriving on purpose-built wilderness trails at River Paws' exclusive facility in Waunakee, Wisconsin","Tired dogs, grateful furniture, happy owners",Homepage Hero; Services – Adventure Out; Gallery,"The image perfectly captures the 'properly challenged athlete' transformation. The lighting and joyful expression drive high emotional engagement, while the visible trail infrastructure supports the 'private facility' brand claim. Direct Waunakee targeting in SEO maximizes local relevance."
539501390_1365630468899095_7681687580582236953_n.jpg,energetic-german-shepherd-dog-hiking-madison-wi-river-paws.jpg,Madison,"River Paws Private Dog Park - Waunakee, WI",Madison,9.2,8.8,9.2,9.5,9.4,9,48,38,Adventure / Hiking,German Shepherd experiencing natural enrichment for Madison area dogs at Waunakee's premier adventure park,Muddy paws mean mission accomplished,Services – Adventure Out; Homepage Hero; Gallery; Social,"This image powerfully visualizes the 'working breed' solution—showing a high-drive dog fully engaged in fitness-level play. The vast, grassy background proves the 'private wilderness' claim, directly appealing to Madison owners whose dogs feel confined in city limits or small yards."
542102655_1372998568162285_7025108831859301308_n.jpg,playful-aussie-mix-wilderness-adventure-waunakee-wi-river-paws.jpg,Waunakee,"River Paws Private Dog Park - Waunakee, WI",Waunakee,8.9,9,7.5,9.5,9,9.5,22,48,Adventure / Hiking,"Playful Aussie mix thriving on purpose-built wilderness trails at River Paws' exclusive facility in Waunakee, Wisconsin",Where working breeds finally work,Services – Adventure Out; Gallery; Social,"The image perfectly captures the 'wilderness' aspect of the brand with tall grass and open space, distinct from a manicured city park. The Aussie's expression is focused and happy, ideal for selling the 'transformation' from bored to active. The composition highlights the scale of the private facility."
539984995_1372998614828947_5661527881519578396_n.jpg,happy-alert-brindle-mix-dog-hiking-waunakee-wi-river-paws.jpg,Waunakee,"River Paws Private Dog Park - Waunakee, WI",Waunakee,8.9,8.5,8,9.5,9,9.5,42,35,Adventure / Hiking,"Alert brindle mix thriving on purpose-built wilderness trails at River Paws' exclusive facility in Waunakee, Wisconsin",Where restless paws find peaceful exhaustion,Services – Adventure Out; Gallery; Social; Homepage Hero,"The image features an athletic, alert dog in an expansive grassy setting, perfectly visually supporting the 'burning energy' and 'private terrain' value propositions. The dog's happy pant and attentive posture demonstrate the result of the service (mental and physical stimulation). The composition allows for strong text overlay if needed."
541307848_1373909044737904_4761853553742333210_n.jpg,energetic-english-cream-dog-hiking-sun-prairie-wi-river-paws.jpg,Sun Prairie,"River Paws Private Dog Park - Waunakee, WI",Sun Prairie,9.3,9.5,8.5,10,9.5,9,50,55,Adventure / Hiking,Energetic English Cream building confidence serving Sun Prairie families at professionally supervised wilderness trails,From bored to balanced in acres,Homepage Hero; Services – Adventure Out; Gallery,"The image perfectly captures the 'burning energy' transformation in a visibly private, safe environment (tall grass, no fences visible but implied safety). The energetic movement directly appeals to owners of active breeds in Sun Prairie who need an outlet for their dogs. High brand score for showcasing the specific 'prairie' terrain unique to the Waunakee facility."
541736385_1373907268071415_98099061567662543_n.jpg,confident-mixed-pack-dog-hiking-waunakee-wi-river-paws.jpg,Waunakee,"River Paws Private Dog Park - Waunakee, WI",Waunakee,9,8.5,9,9.5,9,9,82,48,Adventure / Hiking,"Mixed pack socializing thriving on purpose-built wilderness trails at River Paws' exclusive facility in Waunakee, Wisconsin",Not a dog park. A wilderness system.,Homepage Hero; Services – Adventure Out; Gallery,"The image perfectly illustrates the 'private facility' advantage with the visible fence line and mowed path through tall grass, distinguishing it from public parks. The composition is strong, showing a diverse pack (small and large breeds) coexisting peacefully, which builds trust in supervision. The green, sunny environment evokes health and happiness. Keywords target the core Waunakee audience while emphasizing the unique infrastructure."
542759232_1373907578071384_776554366086029129_n.jpg,joyful-mini-aussie-dog-hiking-madison-wi-river-paws.jpg,Madison,"River Paws Private Dog Park - Waunakee, WI",Madison,9.2,9.5,9,9.5,9,9.2,50,55,Adventure / Hiking,Mini Aussie experiencing natural enrichment for Madison area dogs at Waunakee's premier adventure park,When freedom meets safety perfectly,Homepage Hero; Services – Adventure Out; Gallery; Social,"This image perfectly captures the 'happy exhausted' state that owners desire. The intense eye contact and smile create a high emotional connection. The setting showcases the vast, well-maintained terrain (differentiator). SEO strategy targets Madison using Pattern 2 ('For Madison area') to capture the broader service market while avoiding repetitive phrasing found in the history."
542226414_1374810091314466_3051555521896106559_n.jpg,joyful-australian-shepherd-dog-hiking-sun-prairie-wi-river-paws.jpg,Sun Prairie,"River Paws Private Dog Park - Waunakee, WI",Sun Prairie,9.2,9.2,8.8,9.5,9,9.5,45,30,Adventure / Hiking,Joyful Aussie building confidence serving Sun Prairie families at professionally supervised wilderness trails,"Professionally supervised, naturally thrilling",Homepage Hero; Services – Adventure Out; Social,"The image perfectly captures the 'transformation' aspect of the brand—a high-energy working breed looking satisfied and stimulated in a natural environment. The tall grass and open field reinforce the 'private wilderness' differentiator, distinguishing it from manicured city parks. The composition allows for text overlay on the left, making it versatile for hero banners."
544726699_1374810977981044_3598040394495032177_n.jpg,energetic-husky-mix-wilderness-trails-sun-prairie-wi-river-paws.jpg,Sun Prairie,"River Paws Private Dog Park - Waunakee, WI",Sun Prairie,8.9,8.5,8,9.5,9,9.5,52,58,Adventure / Hiking,Energetic Husky mix building confidence serving Sun Prairie families at professionally supervised wilderness trails,Where prairie meets purpose daily,dog hiking services; Sun Prairie dog exercise; private dog park; working breed enrichment; wilderness trails,"The image perfectly illustrates the 'fitness-level exercise' value proposition, showing a high-energy breed utilizing the purpose-built infrastructure (mowed paths). The framing by the trees adds depth, while the alt text targets the Sun Prairie market with a direct service keyword pattern (Pattern 4) to capture high-intent search traffic looking for hiking specifically."
540499293_1366649442130531_5682010309802495335_n.jpg,happy-mixed-pack-social-hiking-middleton-wi-river-paws.jpg,Middleton,"River Paws Private Dog Park - Waunakee, WI",Middleton,9.1,9,8.5,9.5,9,9.5,45,35,Social / Community / Celebration,Happy pack achieving peaceful exhaustion for Middleton area pets at private trail systems with River Paws,Your couch called—it's grateful today,Social; Services – Adventure Out; Gallery; Homepage Hero,"The image perfectly captures the 'socialization in controlled environments' value proposition. Seeing four dogs of different breeds sitting calmly together on a picnic table demonstrates the behavioral benefits (impulse control, pack bonding) of the River Paws program. This is high-converting content for owners worried about public park chaos."
