Original Filename,New SEO Filename,Target City,Total Score,Emotional (25%),Technical (20%),Brand (20%),Marketing (20%),SEO (15%),Focal X (%),Focal Y (%),Category,Alt Text,Caption,Placement Tags,Reasoning
IMG_2722.jpg,content-shih-tzu-grooming-waunakee-wi-river-paws.jpg,Waunakee,8.6,8.5,9,8,8.5,9,38,58,Grooming / Care Close-Up,"Festive Shih Tzu looking their best after professional grooming at River Paws Waunakee, Wisconsin","Clean paws, confident hearts",Services – Grooming; Gallery; Social; Homepage Banner / CTA,"The image showcases the 'Grooming / Care' aspect of the brand. While the hiking trails are the primary USP, the 'expert-led' care and 'building confidence' transformation applies strongly to grooming services. The festive backdrop adds emotional appeal. The alt text leverages the Waunakee location pattern while focusing on the confidence-building aspect of professional handling."
IMG_2720.jpg,joyful-cockapoo-holiday-grooming-waunakee-wi-river-paws.jpg,Waunakee,8.8,9.5,9,8.5,8,9,50,45,Grooming / Care Close-Up,"Holiday-ready Cockapoo enjoying gentle expert styling at River Paws Waunakee, Wisconsin",Gentle care for brave explorers,Social; Gallery; Services – Grooming,"This image highlights the grooming and care aspect of the brand with a seasonal hook. It reinforces the 'confidence' transformation pillar within the controlled environment of the facility, appealing to owners looking for high-quality, trustworthy care."
IMG_2620.jpg,confident-brindle-mix-dog-enrichment-waunakee-wi-river-paws.jpg,Waunakee,9,8.8,9.2,9,8.5,9.5,56,32,Social / Community / Celebration,"Stoic brindle dog thriving with compassionate spa-quality grooming at River Paws Waunakee, Wisconsin",Fresh styles for confident explorers,Social; Gallery; About; Services – Grooming,"The image is a high-quality studio portrait that conveys the 'confidence' and 'socialization' brand pillars. While it doesn't show the hiking terrain, it demonstrates the result of the program: a calm, well-adjusted dog. The alt text leverages the Waunakee location explicitly as requested, using the 'building confidence' transformation verb to sell the psychological benefit of the service."
IMG_2609.jpg,patient-doodle-dog-grooming-middleton-wi-river-paws.jpg,Middleton,9,8.8,9.2,8.5,8.7,9.5,53,30,Grooming / Care Close-Up,Patient doodle relaxing during skilled grooming care for Middleton area pets at River Paws,"Fresh grooming, endless adventures",Services – Grooming; Social; Gallery,"This image highlights the 'care' and 'confidence' pillar of the brand through high-quality grooming presentation. The seasonal backdrop adds emotional warmth (social proof), while the calm demeanor of the dog reinforces the 'building confidence' transformation. Targeting DeForest expands the SEO footprint beyond the immediate Waunakee location using Pattern 3 (Serving)."
IMG_2597.jpg,confident-havanese-mix-dog-grooming-sun-prairie-wi-river-paws.jpg,Sun Prairie,8.6,8.5,9,8,8,9.5,50,45,Grooming / Care Close-Up,Festive Havanese mix trusting our compassionate grooming for Sun Prairie area dogs at River Paws,Where style meets wilderness-ready care,Services – Grooming; Social; Gallery,"The image features a posed, groomed dog in a seasonal setting, aligning with the Grooming category. The alt text utilizes Pattern 3 ('serving Sun Prairie families') to target the specific SEO requirement while emphasizing the brand's 'expert handling' differentiator to sell confidence rather than just aesthetics."
IMG_2573.jpg,confident-terrier-mix-grooming-madison-wi-river-paws.jpg,Madison,8.5,8.5,9,8,8,9,50,55,Grooming / Care Close-Up,Dapper terrier mix receiving expert breed-specific styling for Madison area pets at River Paws,"Professional finish, gentle process",Services – Grooming; Social; Gallery,"The image highlights the 'confidence' brand pillar through a posed, festive grooming photo. The alt text utilizes Pattern 2 ('For Madison Area') to expand the service reach beyond Waunakee while emphasizing the 'exclusive studio' differentiator. The caption reinforces the blend of care and seasonal fun."
IMG_2524.jpg,happy-great-pyrenees-socialization-sun-prairie-wi-river-paws.jpg,Sun Prairie,9.1,9.2,8.8,9,8.9,9.5,52,42,Social / Community / Celebration,Joyful Great Pyrenees experiencing stress-free gentle grooming serving Sun Prairie families,"Trusted touch, beautiful finish",Social; Gallery; About,"The image features a happy dog in a festive setting, perfect for demonstrating the 'Social / Community' aspect of the brand. The alt text targets Sun Prairie using Pattern 2 ('for Sun Prairie area dogs') while emphasizing the transformation of 'building confidence' through 'expert-led enrichment'. The caption focuses on the emotional benefit of confidence and joy without mentioning specific locations."
IMG_2211.jpg,content-shih-tzu-mix-expert-care-waunakee-wi-river-paws.jpg,Waunakee,8.6,8.5,8,9,8.5,9,54,35,Grooming / Care Close-Up,"Content Shih Tzu mix getting pampered with trusted grooming services at River Paws Waunakee, Wisconsin",Expert styling for every season,About; Services – Grooming; Social,"The image showcases a calm, well-cared-for small dog indoors, perfectly illustrating the 'confidence' and 'controlled environment' brand pillars. The bandana adds a touch of personalized care, while the clean facility background reinforces the professional nature of the business. The alt text connects this calmness to the brand's promise of building social skills in a safe setting."
IMG_2187.jpg,wi-content-goldendoodle-dog-grooming-waunakee-wi-river-paws.jpg,Waunakee,9,9.2,8.5,9,8.8,9.5,48,35,Grooming / Care Close-Up,"Fluffy Goldendoodle shining after premium grooming care at River Paws Waunakee, Wisconsin",Expert grooming for adventure-ready dogs,Services – Grooming; Social; Gallery,"The image showcases a high-quality groom on a popular breed (Goldendoodle), directly appealing to owners looking for professional care. The 'teddy bear' cut emphasizes softness and approachability. The alt text leverages the 'building confidence' transformation verb to frame grooming as an emotional benefit rather than just a chore, while targeting the specific Waunakee location as requested."
IMG_2130.jpg,confident-standard-poodle-dog-grooming-waunakee-wi-river-paws.jpg,Waunakee,9,8.5,9.2,9,8.8,9.5,63,22,Grooming / Care Close-Up,"Regal Standard Poodle feeling confident with expert grooming at River Paws Waunakee, Wisconsin",Professional styling meets compassionate care,Services – Grooming; Gallery; Social,"The image showcases the high-quality results of the grooming service (Brand) with a sharp, clear focus on the dog's expression (Technical). The pile of hair on the floor subtly tells a story of transformation and care (Emotional/Marketing). The alt text leverages the Waunakee location pattern while connecting the grooming service to the core brand value of confidence building."
IMG_2128.jpg,confident-standard-poodle-grooming-middleton-wi-river-paws.jpg,Middleton,8.8,8.5,8.5,9,8.5,9.5,52,25,Grooming / Care Close-Up,Elegant Standard Poodle looking their best after professional grooming serving Middleton families,Professional care from nose to tail,Services – Grooming; Gallery; Social,"The image showcases the high-quality finish of the grooming service (Brand), featuring a calm and regal dog that implies trust and safety (Emotional). The alt text targets DeForest using the 'For [City] Area' pattern to capture regional search traffic while highlighting the confidence-building aspect of the service."
